time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450050000	14.8978	6.20744	0.749811	0.153851	0	radar	1171.72	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	14.9263	6.30147	0.726785	0.171544	0	lidar	8635.12	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	14.9488	6.31662	0.644304	0.17912	0	radar	1399.35	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	14.9739	6.41039	0.622242	0.196874	0	lidar	8807.19	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.9936	6.42402	0.533062	0.204822	0	radar	1146.2	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	15.0123	6.51655	0.51194	0.222622	0	lidar	8889.29	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	15.0321	6.53075	0.419162	0.230953	0	radar	1261.66	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	15.0434	6.62075	0.399161	0.248594	0	lidar	8774.89	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	15.0624	6.63458	0.30572	0.256967	0	radar	1217.17	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	15.0672	6.72316	0.286566	0.274633	0	lidar	8882.17	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	15.0848	6.73644	0.178501	0.284059	0	radar	1138.1	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	15.0856	6.82382	0.160228	0.301656	0	lidar	8946.33	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	15.1034	6.83736	0.0697426	0.309853	0	radar	1208.4	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	15.1016	6.92456	0.0521679	0.3275	0	lidar	9155.14	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	15.1177	6.93804	-0.0386557	0.335814	0	radar	1215.56	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	15.109	7.02335	-0.0554701	0.353423	0	lidar	9248.3	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	15.1247	7.03625	-0.146988	0.361706	0	radar	1133.54	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	15.1104	7.1181	-0.162747	0.378896	0	lidar	8973.88	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	15.1238	7.1302	-0.253377	0.387094	0	radar	1021.82	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	15.1065	7.21175	-0.268591	0.404343	0	lidar	9210.13	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	15.1182	7.2234	-0.359202	0.412549	0	radar	978.747	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	15.0963	7.30235	-0.373598	0.429504	0	lidar	9088.36	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	15.1079	7.3144	-0.446491	0.436483	0	radar	1076.65	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	15.0799	7.39314	-0.46058	0.453701	0	lidar	9601.03	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	15.0918	7.40505	-0.541175	0.461201	0	radar	1062.88	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	15.062	7.48113	-0.554423	0.477961	0	lidar	9291.08	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	15.0726	7.49253	-0.617066	0.484107	0	radar	1003.56	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	15.0387	7.56645	-0.629698	0.500637	0	lidar	9269.53	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	15.0492	7.57768	-0.704191	0.50762	0	radar	989.726	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	15.0081	7.64935	-0.716363	0.524084	0	lidar	9532.18	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	15.0167	7.65951	-0.790271	0.530908	0	radar	843.893	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	14.9715	7.72774	-0.801734	0.546902	0	lidar	9308.44	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	14.9793	7.73813	-0.877024	0.5539	0	radar	928.932	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	14.9316	7.80497	-0.888049	0.569732	0	lidar	9365.24	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	14.9395	7.81543	-0.967569	0.577021	0	radar	954.749	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	14.8863	7.88036	-0.978231	0.59277	0	lidar	9650.9	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	14.892	7.89007	-1.04726	0.599257	0	radar	899.677	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	14.8361	7.95268	-1.05743	0.614676	0	lidar	9564.34	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	14.8417	7.96231	-1.12308	0.620892	0	radar	902.141	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	14.7828	8.02278	-1.13283	0.636042	0	lidar	9575.74	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	14.7882	8.03236	-1.19839	0.642229	0	radar	914.989	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	14.7256	8.09058	-1.20776	0.657133	0	lidar	9673.07	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	14.7285	8.09946	-1.27914	0.663709	0	radar	923.785	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	14.6651	8.15545	-1.28807	0.678205	0	lidar	9429.45	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	14.6676	8.16368	-1.35364	0.684239	0	radar	817.955	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	14.6008	8.2178	-1.36228	0.698551	0	lidar	9604.6	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	14.6037	8.22621	-1.41705	0.703804	0	radar	827.065	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	14.5352	8.27695	-1.42519	0.717541	0	lidar	9280.14	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	14.5363	8.28526	-1.48858	0.723446	0	radar	952.12	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	14.4653	8.33428	-1.49647	0.736976	0	lidar	9395.74	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	14.4659	8.34181	-1.54827	0.741932	0	radar	822.407	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	14.394	8.38823	-1.55577	0.754996	0	lidar	9142.39	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	14.3944	8.3963	-1.62544	0.761256	0	radar	995.335	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
1477010452700000	14.317	8.4398	-1.63267	0.774054	0	lidar	9501.07	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732
1477010452750000	14.3164	8.44674	-1.6813	0.778683	0	radar	802.829	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627
1477010452800000	14.2373	8.48729	-1.68816	0.790998	0	lidar	9356.33	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331
1477010452850000	14.2356	8.49447	-1.74912	0.796527	0	radar	981.158	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844
